"Name"	"Strain"
"Vulcanibacillus  modesticaldus"	"BR"
"Acidovorax caeni"	"R-24608"
"Rhodanobacter spathiphylli"	"B39"
"Paucisalibacillus globulus"	"B22"
"Methanocella arvoryzae"	"MRE50"
"Pedobacter aquatilis"	"AR107"
"Clostridium schirmacherense"	"AP15"
"Pseudomonas borbori"	"LMG 23199"
"Pseudomonas peli"	"LMG 23201"
"Halostagnicola larsenii"	"XH-48"
"Spongiibacter marinus"	"HAL40b"
"Pseudochrobactrum saccharolyticum"	"CCUG 33852"
"Amphritea atlantica"	"M41"
"Brevibacterium oceani"	"BBH7"
"Microbacterium indicum"	"BBH6T"
"Brucella pinnipedialis"	"NCTC 12890T"
"Brucella ceti"	"NCTC 12891T"
"Chryseobacterium hispanicum"	"VP48"
"Bryobacter Bryobacter aggregatus"	"MPL3"
"Bryobacter aggregatus"	"MPL3"
"Zavarzinella formosa"	"A10T"
"Schlesneria paludicola"	"MPL7T"
"Arthrobacter phenanthrenivorans"	"Sphe3T"
"Flavobacterium aquidurense"	"WB 1.1-56T"
"Flavobacterium reichenbachii"	"WB 3.2-61T"
"Pseudochrobactrum asaccharolyticum"	"CCUG 46016"
"Rhodobium gokarnense"	"JA173T"
"Rhodovulum visakhapatnamense"	"JA181T"
"Rhodovulum imhoffii"	"JA125T"
"Sphingobium aromaticiconvertens"	"RW16T"
"Yersinia similis"	"Y228"
"Treponema isoptericolens"	"SPIT5"
"Desulfotomaculum defluvii"	"A5LFS102"
"Halomonas gomseomensis"	"M12T"
"Halomonas janggokensis"	"M24T"
"Halomonas salaria "	"M27T"
"Halomonas denitri•ÂÅcans"	"M29T"
"Arenimonas daejeonensis"	"T7-07"
"Sphingomonas mucosissima"	"CP173-2T"
"Bacteroides xylanisolvens"	"XB1A"
"Aerococcus suis "	"1821/02T"
"Aerococcus suis"	"1821/02T"
"Chryseobacterium ureilyticum"	"F-Fue-04IIIaaaa"
"Chryseobacterium pallidum"	"26-3St2b"
"Chryseobacterium gambrini"	" 5-1St1a"
"Planosporangium flavigriseum"	"YIM 46034"
"Lactobacillus namurensis"	"LMG23583T"
"Sulfurihydrogenibium rodmanii"	"UZ3-5"
"Thermocrinis Thermocrinis minervae"	"CR11"
"Thermocrinis minervae"	"CR11"
"Clostridium nitrophenolicum"	"1DT"
"Chryseobacterium hominis"	"NF802T"
"Flavobacterium hercynium"	"WB 4.2-33T"
"Lactobacillus secaliphilus"	"TMW 1.1309T"
"Thiorhodococcus bheemlicus"	"JA132T"
"Roseospira visakhapatnamensis"	"JA131T"
"Thiorhodococcus kakinadensis"	"JA130T"
"Williamsia serinedens"	"IMMIB SR-4T"
"Lysobacter defluvii"	"IMMIBAPB-9T"
"Halochromatium roseum"	"JA134T"
"Roseospira  goensis"	"JA135T"
"Methylocystis heyeri"	"H2T"
"Lactobacillus crustorum"	"LMG 23699T"
"Lewinella agarilytica"	"SST-19T"
"Tamlana crocina"	"HST1-43T "
"Phycicola gilvus"	"SSWW-21"
"Bhargavaea cecembensis"	"DSE10T"
"Salirhabdus euzebyi"	"CVS-14T"
"Lactobacillus ceti"	"142-2"
"Flavobacterium ceti"	"454-2T"
"Pseudomonas reinekei"	"MT1T"
"Pseudomonas moorei"	"RW10T"
"Pseudomonas mohnii"	"IpA-2T"
"Devosia subaequoris"	"HST3-14T"
"Halobacillus alkaliphilus"	"FP5"
"Nocardioides hwasunensis"	"HFW-21"
"Marmoricola aequoreus"	"SST-45T"
"Gulbenkiania mobilis"	"E4FC31T"
"Lysinibacillus parviboronicapiens"	"BAM-582T"
"Tessaracoccus flavescens"	"SST-39"
"Paludibacterium yongneupense"	"5YN8-15"
"Streptococcus merionis"	"WUE3771T"
"Wohlfahrtiimonas chitiniclastica"	"S5"
"Deefgea rivuli"	"WB 3.4-79T"
"Undibacterium pigrum"	"CCUG 49009T"
"Corynebacterium ureicelerivorans"	"IMMIB RIV-2301T"
"Rhodobacter johrii"	"JA192"
"Lapillicoccus jejuensis"	"R-Ac013T"
"Nocardioides daphniae"	"D287"
"Streptomyces hainanensis"	"YIM47672T"
"Actinomycetospora chiangmaiensis"	"YIM 0006"
"Allochromatium renukae"	"JA136"
"Gemmobacter changlensis"	"JA139"
"Rhodobacter changlensis"	"JA139T"
"Actinoplanes  couchii"	"GW8-1761T"
"Nocardia  acidivorans"	"GW4-1778T"
"Stenotrophomonas humi"	"R-32729T "
"Stenotrophomonas terrae"	"R-32768T"
"Aquisalimonas asiatica"	"CG12T"
"Gordonia malaquae"	"IMMIBWWCC-22T"
"Echinicola vietnamensis"	"KMM6221T"
"Pseudosphingobacterium domesticum"	"DC-186T "
"Anoxybacillus bogrovensis"	"BT 13"
"Arthrobacter defluvii"	"4C1-a"
"Kaistia defluvii"	"B6-12"
"Tenacibaculum discolor"	" LL04 11.1.1"
"Paenibacillus humicus"	"PC-147T"
"Sphingomonas pseudosanguinis"	"G1-2T"
"Tenacibaculum adriaticum"	"B390"
"Pseudoxanthomonas spadix"	" IMMIB AFH-5 T"
"Desulfovibrio psychrotolerans"	"JS1"
"Azospirillum rugosum"	"IMMIB AFH-6"
"Alloscardovia omnicolens"	"CCUG 31649T"
"Burkholderia endofungorum"	"HK456T"
"Rhodobacter megalophilus"	"JA194"
"Brevibacterium marinum"	"HFW-26"
"Prevotella amnii"	"CCUG 53648"
"Ochrobactrum haematophilum"	"CCUG38531T"
"Ochrobactrum pseudogrignonense"	"CCUG30717T"
"Nocardioides marinisabuli"	"SBS-12T"
"Nocardia speluncae"	"N2-11T"
"Jiangella alkaliphila"	"D8-87"
"Burkholderia bryophila"	"1S18T"
"Burkholderia megapolitana"	"A3T "
"olei IMMIBHF-1T"	"IMMIBHF-1T"
"Chryseobacterium  luteum"	"P 456/04T"
"Mucilaginibacter gracilis"	"TPT18T"
"Mucilaginibacter gracilis"	"TPT18T"
"Mucilaginibacter gracilis"	"TPT18T"
"Mucilaginibacter paludis"	"TPT56T"
"Mucilaginibacter paludis"	"TPT56T"
"Ochrobactrum pituitosum"	"CCUG 50899"
"Ochrobactrum thiophenivorans"	"DSM 7216"
"Ochrobactrum rhizosphaerae"	"PR17"
"Pedobacter duraquae"	"WB 2.1-25T"
"Pedobacter westerhofensis"	"WB3.3-22T "
"Pedobacter metabolipauper"	"WB 2.3-71T"
"Pedobacter hartonius"	"WB 3.3-3T"
"Pedobacter steynii"	"WB 2.3-45T"
"Thiohalocapsa marina"	"JA142T"
"Algibacter mikhailovii"	"KMM 6171T "
"Pseudomonas guinae"	"M8T"
"Bacillus chagannorensis"	"CG-15T"
"Salsuginibacillus kocurii"	"CH9dT"
"Herminiimonas saxobsidens"	"NS11T"
"Humibacter albus"	"SC-083"
"Maribacter polysiphoniae"	"KMM 6151T"
"Nitratireductor kimnyeongensis"	"KY 101T"
"Pelomonas puraquae"	"CCUG52769T"
"Roseateles aquatilis"	"CCUG 48205"
"Roseateles terrae"	"CCUG 52222"
"Marinobacter guineae"	"M3B"
"Bacillus isabeliae"	"CVS-B"
"Pelomonas aquatica"	"CCUG52575T"
"Leuconostoc holzapfelii"	"LMG 23990T"
"Rhodobacter ovatus"	"JA234"
"Terrabacter lapilli"	"LR-26"
"Promicromonospora kroppenstedtii"	"RS16"
"Rhodospirillum sulfurexigens"	"JA143"
"Allochromatium phaeobacterium"	"JA144T"
"Anderseniella baltica"	"BA141T"
"Maribacter forsetii"	"KT02ds18-6"
"Rhodoplanes piscinae"	"JA266"
"Rhodobacter maris"	"JA276"
"Ekhidna lutea"	"BiosLi39"
"Tenacibaculum soleae"	"LL04 12.1.7"
"Tenacibaculum gallaicum"	"A37.1"
"Bacillus cytotoxicus"	"NVH 391-98"
"Legionella dresdenensis"	"W03-356"
"Burkholderia latens"	"FIRENZE 3"
"Burkholderia diffusa"	"AU1075"
"Burkholderia arboris"	"ES0263A"
"Burkholderia seminalis"	"AU0475"
"Burkholderia metallica"	"AU0553"
"Enterorhabdus mucosicola"	"Mt1B8T"
"Microbacterium luticocti"	"SC-087B"
"Oceaniserpentilla haliotis"	"DSM 19503"
"Chryseobacterium aquaticum"	"Oct-46"
"Thiophaeococcus mangrovi"	"JA304"
"Rhodobacter aestuarii"	"JA296T"
"Rhodovulum kholense"	"JA297"
"Kiloniella laminariae"	"LD81T"
"Chryseobacterium gregarium"	"P 461/12"
"Streptococcus plurextorum"	"1956-02T"
"Desulfopila inferna"	"JS_SRB250Lac"
"Desulfopila inferna"	" JS _ SRB250Lac"
"Naxibacter varians"	"CCUG 35299"
"Naxibacter haematophilus"	"CCUG 38318"
"Mycoplasma mucosicanis"	"1642T "
"Saxeibacter lacteus"	"DLS-10"
"Ancylobacter oerskovii"	"NS05"
"Microbacterium aquimaris"	"JS54-2"
"Kribbella catacumbae"	"BC631"
"Kribbella sancticallisti"	"BC633"
"Aeromicrobium ponti"	"HSW-1"
"Sulfurihydrogenibium kristjanssonii"	"I6628"
"Phaeospirillum chandramohanii"	"JA145T"
"Singulisphaera acidiphila"	"MOB10"
"Weissella ghanensis"	"215"
"Gordonia kroppenstedti"	"NP8-5T"
"Aquamicrobium segne"	" 1006/1"
"Aquamicrobium Ahrensii"	"905/1"
"Mycobacterium stomatepiae"	"T11"
"Moraxella  pluranimalium"	" 248-01T"
"Alteromonas genovensis"	"LMG 24078"
"Gordonibacter pamelaeae "	"7-10-1-bT "
"Granulicella pectinivorans"	"TPB6011"
"Granulicella aggregans"	"TPB6028"
"Granulicella pectinivorans"	"TPB6011"
"Granulicella  paludicola"	"OB1010"
"Granulicella rosea"	"TPO1014"
"Telmatobacter bradus"	"TPB6017"
"Leifsonia kafniensis"	"KFC-22T"
"Leisingera aquimarina"	"LMG 24366"
"Leifsonia pindariensis"	"PON10"
"Halorubrum kocurii"	"BG-1"
"Rhodospirillum oryzae"	"JA318"
"Sediminibacillus halophilus"	"EN8d"
"Ruegeria scottomollicae"	"LMG 24367"
"Lactobacillus fabifermentans"	"LMG24284T"
"Lactobacillus cacaonum"	"LMG24285T"
"Acetobacter fabarum"	"985"
"Acinetobacter venetianus"	"RAG-1T "
"Aquisalibacillus elongatus"	"SH4s"
"Rhodovulum lacipunicei"	"JA322T"
"Corynebacterium  ulceribovis"	"IMMIB L-1395T"
"Azospirillum picis"	"IMMIB TAR-3T "
"Mesorhizobium metallidurans"	"STM 2683T"
"Corynebacterium sputi"	"IMMIB L-999"
"Rhizobium alamii"	"GBV016T"
"Pullulanibacillus uraniitolerans"	"UG-2"
"Pullulanibacillus uraniitolerans"	"UG-3"
"Arthrobacter antarcticus"	"SPC26"
"Leifsonia antarctica"	"SPC-20T"
"Campylobacter Campylobacter subantarcticus"	"R-3023"
"Campylobacter subantarcticus"	"R-3023"
"Flavobacterium swingsii"	"WB 2.3-68T"
"Flavobacterium rivuli"	"WB3.3-2T"
"Flavobacterium subsaxonicum"	"WB 4.1-42T"
"Streptomyces specialis"	"GW41-1564"
"Nautilia abyssi"	"PH1209T"
"Brevibacterium siliguriense"	"MB18"
"Dyella  marensis"	"CS5-B2T"
"Desmospora activa"	"IMMIB L-1269T"
"Agrococcus versicolor"	"K 114/01"
"Leucobacter tardus"	"K 70/01"
"Leuconostoc palmae"	"TMW 2.694T"
"Deinococcus aquatilis"	"CCUG 53370"
"Streptococcus Streptococcus porci"	"2923-03"
"Streptococcus porci"	"2923-03"
"Streptococcus porci"	"2923-03"
"Halomonas Halomonas stevensii"	"S18214"
"Halomonas stevensii"	"S18214"
"Halomonas Halomonas hamiltonii"	"W1025"
"Halomonas hamiltonii"	"W1025"
"Halomonas johnsoniae"	"T68687"
"Halomonas Halomonas johnsoniae"	"T68687"
"Kushneria aurantia"	"A10T"
"Enterovibrio nigricans"	"DAl1-1-5T"
"Haloterrigena salina"	"XH-65"
"Ectothiorhodospira variabilis"	"WN22T"
"Phaeobacter caeruleus"	"LMG 24369T"
"Micromonospora  Micromonospora pisi"	"GUI 15"
"Micromonospora pisi"	"GUI 15"
"Desulfovibrio marrakechensis"	"EMSSDQ4 T"
"Acidisoma tundrae"	"WM1T"
"Acidisoma sibiricum"	"TPB606T"
"Rhodopseudomonas parapalustris"	"JA310"
"Arcicella rosea"	"TW5T"
"Microbacterium invictum"	"DC-200T"
"Shewanella vesiculosa"	"M7T"
"Actinocatenispora rupis"	"CS5-AC17T"
"Nocardioides hungaricus"	"1RaM5-12T"
"Bacillus Bacillus halochares"	"MSS4"
"Bacillus halochares"	"MSS4"
"Chryseobacterium anthropi"	"NF 1366T"
"Loktanella  Loktanella pyoseonensis"	"JJM85"
"Loktanella pyoseonensis"	"JJM85"
"Deinobacterium chartae"	"K4.1T"
"Pleionea mediterranea"	"MOLA115"
"Saccharopolyspora rosea"	"IMMIB L-1070T"
"Promicromonospora flava"	"CC 0387T"
"Sphingobium vermicomposti"	"VC-230T"
"Lysobacter concretionis"	"Ko07T"
"Saccharofermentans  acetigenes"	"P6"
"Methylosarcina lacus"	"LW14T"
"Mycobacterium boenickei"	"ATCC 49935T"
"Mycobacterium neworleansense"	"ATCC 49404T"
"Mycobacterium brisbanense"	"ATCC 49938T"
"Mycobacterium houstonense"	"ATCC 49403T"
"Leptotrichia wadei"	"LB 16T"
"Leptotrichia hofstadii"	"LB 23T"
"Leptotrichia shahii"	"LB 37T"
"Leptotrichia goodfellowii"	"LB 57T"
"Bacillus macyae"	"JMM-4T"
"Geobacillus lituanicus"	"N-3T"
"Geobacillus lituanicus"	"N-3T"
"Rickettsia tamurae"	"AT-1"
"Saccharothrix algeriensis"	"SA 233T "
"Ancylobacter rudongensis"	"AS1.1761T"
"microbacterium ulmi"	"XIL02T"
"Anaerobranca californiensis"	"PAOHA-1T"
"Streptomyces koyangensis"	"VK-A60T"
"Lechevalieria fradiae"	"Z6T "
"Virgibacillus sediminis"	"YIM kkny3T"
"Virgibacillus kekensis"	"YIM kkny16"
"Petrotoga mexicana"	"MET12T"
"Bacteroides massiliensis"	"B84634T"
"Amycolatopsis regifaucium"	"GY080T"
"Amycolatopsis thermophila"	"GY088"
"Erwinia papayae"	"CFBP5189T"
"Saccharothrix xinjiangensis"	"PYX-6T"
"Kinneretia Kinneretia asaccharophila"	"KIN192"
"Kinneretia asaccharophila"	" KIN192"
"Neptuniibacter caesariensis"	"MED92T"
"Bermanella marisrubri"	"RED65T"
"Ferrithrix thermotolerans"	"Y005T"
"Paucibacter toxinivorans"	"2C20T"
"Polaromonas naphthalenivorans "	"CJ2T "
"Paenibacillus barengoltzii"	"SAFN-016"
"Paenibacillus pasadenensis"	"SAFN-007"
"Leuconostoc pseudoficulneum"	"LC51"
"Phaeobacter inhibens"	"T5"
"Vagococcus carniphilus"	"1843-02T"
"Sulfitobacter dubius"	"KMM3554T"
"Sulfitobacter delicatus"	"KMM3584T"
"Desulfatibacillum aliphaticivorans"	"CV2803T"
"Thalassospira profundimaris"	"WP0211T"
"Geobacter bemidjiensis"	"BemT"
"Formosa  agariphila"	"KMM 3901"
"Algibacter lectus"	"KMM 3902T"
"Paracoccus haeundaensis"	"BC74171T"
"Thalassospira xiamenensis"	"M-5T"
"Shewanella gaetbuli"	"TF-27T"
"Marinibacillus campisalis"	"SF-57T"
"Geobacillus  gargensis"	"GaT "
"Thalassomonas ganghwensis"	"JC2041T"
"Kordia algicida"	"OT-1T"
"Bacillus tequilensis"	"10b"
"Aestuariibacter salexigens"	"JC2042T"
"Aestuariibacter halophilus"	"JC2043T"
"Paenibacillus favisporus"	"GMP01T"
"Mycobacterium saskatchewanense"	"00-250T"
"Streptomyces africanus"	"CPJVR-HT"
"Kocuria marina"	"KMM 3905T"
"Ancylobacter vacuolatus"	"DSM 1277"
"Ancylobacter polymorphus"	"DSM 2457"
"Petrobacter succinatimandens "	"4BONT"
"Burkholderia unamae"	"MTl-641T"
"Nesterenkonia halotolerans"	"YIM70084T"
"Corynebacterium halotolerans"	"YIM70093T"
"Nesterenkonia xinjiangensis"	"YIM70097T"
"Formosa algae"	"KMM3553T"
"Brevibacterium celere"	"KMM3637T"
"Yania Halotolerans"	"70085T"
"Treponema berlinense"	"7CPL208T"
"Nocardiopsis alkaliphila"	"YIM 80379T"
"Streptococcus minor"	"21734T"
"Rhodococcus gordoniae"	"W 4937T"
"Streptomyces sodiiphilus"	"YIM 80305T"
"Tsukamurella pseudospumae"	"N1176T"
"Marinobacter Adhaerens"	"HP15"
"Ulvibacter litoralis"	"KMM 3912T"
"Halomonas boliviensis"	"LC1T"
"Tepidibacter Formicigenes"	"DV1184T"
"Anoxybacillus kestanbolensis"	"K4T"
"Methylobacterium populi"	"BJ001T"
"Lactobacillus kalixensis"	"Kx127A2T"
"Lactobacillus antri"	"Kx146A4T"
"Lactobacillus ultunensis"	"Kx146C1T"
"Kribbella solani"	"DSA1T"
"Kribbella jejuensis"	"HD9T"
"Vibrio hispanicus"	"LMG 13240T "
"Bartonella chomelii"	"A828T"
"mycobacterium canariasense"	"502329T"
"Lactobacillus saerimneri"	"GDA154T"
"Paenibacillus lactis"	"MB1871T"
"Vibrio gallicus"	"CIP107863T"
"Marinobacter algicola"	"DG893"
"Amycolatopsis plumensis"	"SBHS Strp1T"
"Streptomyces ferralitis"	"SFOp68T"
"Thermovibrio ammoni•ÂÅcans"	"HB-1T"
"Chitinibacter tainanensis"	"S1T"
"Hongiella mannitolivorans "	"JC2050T"
"Hongiella halophila"	"JC2051T"
"Hongiella ornithinivorans"	"JC2052T"
"Desulfofaba fastidiosa"	"P2T"
"Arenibacter certesii"	"KMM 3941T"
"Maribacter sedimenticola"	"KMM 3903T"
"Maribacter orientalis"	"KMM 3947T"
"Maribacter aquivivus"	"KMM 3949T"
"Maribacter ulvicola"	"KMM 3951T"
"Guggenheimella bovis"	"OMZ913T"
"Xylanibacterium ulmi"	"XIL08T"
"Streptomyces hebeiensis"	"YIM001T"
"Scardovia wiggsiae"	"Scardovia wiggsiae"
"Scardovia wiggsiae"	"C1A_55T"
"Scardovia wiggsiae"	"C1A_55"
"Collimonas pratensis"	"Ter91"
"Collimonas arenae"	"Ter10"
"Nocardia neocaledoniensis"	"SBHROA6T"
"Syntrophomonas curvata"	"GB8-1T"
"Ethanoligenens harbinense"	"YUAN-3"
"Methylobacillus pratensis"	"F31T"
"Cellulomonas Xylanilytica"	"XIL11T"
"arcobacter thereius"	"LMG 24486T"
"Streptomyces glauciniger"	"FXJ14T"
"Streptomyces jietaisiensis"	"FXJ46T"
"Tenuibacillus multivorans"	"28-1T"
"Lentibacillus halodurans"	"8-1T"
"Oribacterium sinus"	"AIP 354.02T"
"Paenibacillus massiliensis"	"2301065T"
"Paenibacillus sanguinis"	"2301083T"
"Paenibacillus  timonen"	"2301032T"
"Shewanella donghaensis"	"LT17T"
"Cryptanaerobacter phenolicus"	"LR7.2T"
"Nocardia xishanensis"	"276T"
"Nocardiopsis valliformis"	"HBUM 20028"
"Nocardiopsis ganjiahuensis"	"HBUM 20038"
"mycobacterium parascrofulaceum"	"HSC68T"
"Spirochaeta perfilievii"	"P"
"Spirochaeta perfilievii"	"PT"
"Spirochaeta perfilievii"	"Spirochaeta perfilievii"
"Aeriscardovia aeriphila"	"T6T"
"Bifidobacterium psychraerophilum"	"T16T"
"Chromobacterium subtsugae"	"PRAA4-1T"
"Thermoanaerobacterium aciditolerans"	"761-119T"
"Prevotella bergensis"	"94067913"
"Halobacillus dabanensis"	"D-8T"
"Shewanella affinis"	"KMM 3587T"
"Myceligenerans xiligouense"	"XLG9A10.2T"
"Desulfovibrio bastinii"	"SRL4225T"
"Labrys portucalensis"	"F11"
"Hydrocarboniphaga effusa"	"AP103T"
"Pseudomonas lutea"	"OK2T"
"Salinispora tropica"	"CNB-440T"
"Salinispora  arenicola"	"CNH-643T"
"Klugiella xanthotipulae"	"44C3"
"Bradyrhizobium betae"	"PL7HG1T"
"Bacillus macauensis"	"ZFHKF-1"
"Nocardiopsis salina"	"YIM90010T"
"Chromohalobacter sarecensis"	"LV4T"
"Citricoccus alkalitolerans"	"YIM 70010T"
"Microbacterium halotolerans"	"YIM 70130T"
"Bacillus bogoriensis"	"LBB3T"
"Microbulbifer maritimus"	"TF-17T"
"Halomonas koreensis"	"SS20T"
"Serinicoccus marinus"	"JC1078T"
"Parvibaculum lavamentivorans"	"DS-1T"
"Pseudoalteromonas aliena"	"SW19T"
"Enterococcus hermanniensis"	"LMG12317T"
"Nocardioides ganghwensis"	"JC2055T"
"Nocardioides aestuarii"	"JC2056T"
"Oceanicola granulosus"	"HTCC2516T"
"Oceanicola batsensis"	"HTCC2597T"
"Robiginitalea biformata"	"HTCC2501T"
"Alicyclobacillus vulcanalis"	"CsHg2T"
"Actinoalloteichus spitiensis"	"RMV-1378T"
"Agromyces ulmi"	"XJLO1T"
"Paenibacillus xylanilyticus"	"XIL14T"
"Alteromonas litorea"	"TF-22T"
"Rhizobium daejeonense"	"L61T"
"Planococcus stackebrandtii"	"K22-03T"
"Kitasatospora nipponensis"	"HKI0315T"
"Kitasatospora arboriphila"	"HKI0189T"
"Kitasatospora gansuensis"	"HKI0314T"
"Kitasatospora terrestris"	"HKI0186T"
"Kitasatospora paranensis"	"HKI0190T"
"Bacillus farraginis"	"R-6540T "
"Bacillus fortis"	"R-6514T "
"Bacillus fordii"	"R-7190T"
"Psychrobacter arcticus"	"273-4"
"Muricauda flavescens"	"SW-62T"
"Muricauda flavescens"	"SW-62T"
"Muricauda flavescens"	"SW-62T"
"Muricauda aquimarina"	"SW-63T"
"Shewanella profunda"	"LT13aT"
"Lactobacillus suntoryeus"	"SAT"
"Sphingomonas phyllosphaerae"	"FA2T"
"Erythrobacter aquimaris"	"SW110T"
"Glycomyces lechevalierae"	"NRRL B-16149T"
"Glycomyces arizonensis"	"NRRL B-16153T"
"Glycomyces algeriensis"	"NRRL B-16327T"
"Shewanella marisflavi"	"SW-117T"
"Shewanella aquimarina"	"SW-120T"
"Pseudovibrio denitrificans"	"DN34T"
"Acetanaerobacterium  elongatum"	"Z7T"
"Halomonas anticariensis"	"FP35T"
"Halomonas anticariensis"	"FP35T "
"Desulfatibacillum alkenivorans"	"PF2803T"
"Clostridium jejuense"	"HY-35-12T "
"Burkholderia phytofirmans"	"PsJNT"
"Halonotius Halonotius pteroides"	"1.15.5"
"Halonotius pteroides"	"1.15.5"
"Natronomonas  Natronomonas moolapensis"	"8.8.11"
"Natronomonas moolapensis"	"8.8.11"
"Asticcacaulis taihuensis"	"T3-B7T"
"Novosphingobium taihuense"	"T3-B9T"
"Pseudonocardia  ammonioxydans"	"H9"
"Pseudonocardia  ammonioxydans"	"H9"
"Cellulosimicrobium funkei"	"W6122"
"Agromyces neolithicus"	" 23-23T"
"Agromyces salentinus"	"20-5T"
"Psychrobacter alimentarius"	"JG-100T"
"Chryseobacterium kwangjuense"	"KJ1R5"
"Marinobacter daepoensis"	"SW-156T"
"Treponema porcinum"	"14V28T"
"Thermosinus carboxydivorans"	"Nor1T"
"Kangiella koreensis"	"SW-125T"
"Kangiella aquimarina"	" SW-154T"
"Janibacter melonis"	"CM2104T"
"Rhodococcus imtechensis"	"RKJ300"
"Idiomarina ramblicola"	"R22T"
"Salipiger mucescens"	"A3T"
"Pantoea allii"	"BD 390T"
"Mycoplasma amphoriforme"	"A39T"
"Aeromonas molluscorum"	"848TT"
"Millisia brevis"	"J81"
"Anaerosporobacter mobilis"	"HY-37-4T"
"Phenylobacterium lituiforme"	"FaiI3T"
"Syntrophomonas erecta"	"GB4-38T"
"Photobacterium frigidiphilum"	"SL13T"
"Marinomonas pontica"	"46-16T"
"Aquimonas voraii"	"GPTSA20T"
"Desulfurispora thermophila"	"RA50E1T"
"Desulfotomaculum alcoholivorax"	"RE35E1"
"Pseudoxanthomonas koreensis"	"T7-09T"
"Pseudoxanthomonas daejeonensis"	"TR6-08T"
"Photobacterium haloterans"	"MACL01"
"Salinimonas chungwhensis"	"BH030046T"
"Pontibacillus  chungwhensis"	"BH030062T"
"Porphyrobacter donghaensis"	"SW-132T"
"Odoribacter denticanis"	"B106"
"Micromonospora rifamycinica"	"AM105"
"Geobacillus tepidamans"	"GS5-97T"
"Microbacterium natoriense"	"TNJL143-2T"
"Granulicoccus phenolivorans"	"PG-02T"
"Nitrincola lacisaponensis"	"4CAT"
"Actinomadura napierensis"	"B60T"
"Advenella incenata"	"LMG 22250T"
"Petrimonas sulfuriphila"	"BN3T"
"Mycobacterium pseudoshottsii"	"L15T"
"Nesterenkonia aethiopica"	"DSM 17733"
"Balneola vulgaris"	"13IX/A01/164"
"Hellea balneolensis"	" 26III/A02/215"
"Haliea salexigens"	"3X/A02/235"
"Shewanella canadensis"	"HAW-EB2T"
"Shewanella sediminis"	"HAW-EB3T"
"Shewanella halifaxensis"	"HAW-EB4"
"Shewanella atlantica"	"HAW-EB5T"
"Psychrilyobacter atlanticus"	"HAW-EB21T"
"Flavobacterium weaverense"	"AT1042"
"Flavobacterium segetis"	"AT1048"
"Olleya marilimosa"	"CAM030T"
"Nesterenkonia sandarakina"	"YIM70009T"
"Nesterenkonia lutea"	"YIM70081T"
"Paenibacillus phyllosphaerae"	" PALXIL04T"
"Loktanella hongkongensis"	"UST950701-009PT"
"Mesorhizobium opportunistum"	"WSM2075T"
"Mesorhizobium australicum"	"WSM2073T"
"Rhodococcus yunnanensis"	"YIM 70056T"
"Thermincola carboxydiphila"	"2204T"
"Bacillus malacitensis"	"CR-95T"
"Bacillus axarquiensis"	"CR-119T"
"Bacillus velezensis"	"CR-502T"
"Pontibacillus marinus"	"BH030004T"
"Bacillus alveayuensis"	"TM1T "
"Sphingopyxis baekryungensis"	"SW-150T"
"Bacillus litoralis"	"SW-211T"
"Segniliparus rotundus"	"CDC1076T"
"Segniliparus rugosus"	"CDC945T"
"Kitasatospora viridis"	"52108aT"
"Virgibacillus koreensis"	"BH30097"
"Agromyces italicus"	"CD1T"
"Agromyces humatus"	"CD5T"
"Agromyces lapidis"	"CD55T"
"Nocardiopsis gilva"	"YIM 90087"
"Nocardiopsis rosea"	"YIM 90094"
"Nocardiopsis rhodophaea"	"YIM 90096"
"Nocardiopsis chromatogenes"	"YIM 90109"
"Nocardiopsis baichengensis"	"YIM 90130"
"10.1099/ijs.0.006320-0 jicamae"	"PAC68T"
"Bradyrhizobium pachyrhizi"	"PAC48T"
"Nocardia  polyresistens"	"YIM33361T"
"Jiangella gansuensis"	"YIM002T"
"Leptospira alstonii"	"79601"
"Leptospira yanagawae"	"Sao Paulo"
"Leptospira terpstrae"	"LT 11-33"
"Leptospira vanthielii"	"WaZ Holland"
"Nocardioides alkalitolerans"	"KSL-1T"
"Phyllobacterium catacumbae"	"CSC19T"
"Ornithinimicrobium  kibberense"	"K22-20"
"Psychrobacter cibarius"	"JG-219T"
"Nocardia miyunensis"	"117T"
"Nocardia jiangxiensis"	"43401T"
"Aminiphilus circumscriptus"	"ILE-2T"
"Dietzia papillomatosis"	"N 1280"
"Thalassomonas  loyana"	"CBMAI 722"
"Thalassomonas loyana"	"CBMAI 722"
"Martelella mediterranea"	"MACL11T"
"Desulfovibrio alkalitolerans"	"RT2"
"Stackebrandtia nassauensis"	"NRRLB-16338T"
"Syntrophobacter sulfatireducens"	"TB8106T"
"Geobacter psychrophilus"	"P35T"
"Tepidimicrobium ferriphilum"	"SB91"
"Thioclava pacifica"	"TL 2T"
"Psychrobacter cryohalolentis"	"K5"
"Tenacibaculum lutimaris"	"TF-26T"
"Lentibacillus salarius"	"BH139T"
"Bacillus seohaeanensis"	"BH724"
"Bacillus koreensis"	"BR030"
"Lentibacillus lacisalsi"	"BH260T"
"Acetobacter nitrogenifigens"	"RG1"
"Halomonas taeanensis"	"BH539T"
"Altererythrobacter troitsensis"	"KMM 6042"
"Bacillus massiliensis"	"4400831"
"Naxibacter alkalitolerans"	"YIM31775T"
"Lactobacillus oeni"	" 59bT"
